,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank,show,projectrank_placing,trending,labels,updated_github_id
48,harlem,andrewcourtice/harlem,harlem,state-management,https://github.com/andrewcourtice/harlem,https://github.com/andrewcourtice/harlem,MIT,2020-10-01 23:52:49,2023-09-09 12:02:12,2023-04-26 22:35:18,525,,16.0,6,58.0,3.0,13.0,512.0,2023-03-20 23:34:42,3.1.8,,130.0,63.0,Powerfully simple global state management for Vue 3.,12.0,12.0,10.0,https://www.npmjs.com/package/harlem,130.0,15,True,3,-1.0,['vue3'],
49,Vuex ORM integration,vuex-orm/plugin-graphql,,graphql-integrations,https://github.com/vuex-orm/plugin-graphql,https://github.com/vuex-orm/plugin-graphql,MIT,2018-01-30 15:59:22,2022-12-14 15:16:51,2020-11-18 15:11:03,355,,51.0,10,93.0,44.0,71.0,228.0,2018-06-07 12:43:48,0.0.41,,,65.0,Vuex ORM persistence plugin to sync the store against a GraphQL API.,3.0,3.0,18.0,,,15,True,3,,"['vue2', 'vue3', 'vuex-orm']",
50,vue-route,ayamflow/vue-route,vue-route,routing,https://github.com/ayamflow/vue-route,https://github.com/ayamflow/vue-route,,2014-11-05 08:42:52,2016-11-04 21:00:45,2016-11-04 21:00:45,66,,8.0,9,9.0,2.0,17.0,75.0,2015-06-26 16:49:13,.1.5.0,,3048.0,9.0,"Routing directive for Vue.js, inspired by ng-view.",1261.0,1261.0,4.0,https://www.npmjs.com/package/vue-route,3048.0,15,False,3,,['vue2'],
51,vue-js-grid,euvl/vue-js-grid,,dnd,https://github.com/euvl/vue-js-grid,https://github.com/euvl/vue-js-grid,MIT,2017-09-21 14:51:06,2022-08-18 01:13:29,2020-05-17 06:21:53,48,,107.0,24,15.0,16.0,15.0,952.0,,,,,,"Vue.js 2.x responsive grid system with smooth sorting, drag-n-drop and reordering.",160.0,160.0,8.0,,,14,True,3,,['vue2'],
52,vue-argon-dashboard,creativetimofficial/vue-argon-dashboard,,admin-dashboards,https://github.com/creativetimofficial/vue-argon-dashboard,https://github.com/creativetimofficial/vue-argon-dashboard,MIT,2019-04-08 12:17:09,2024-02-27 10:56:13,2024-02-27 10:55:41,18,3.0,678.0,13,42.0,5.0,45.0,374.0,2024-02-27 10:56:13,4.0.0,,,5.0,Vue Argon Dashboard.,,,2.0,,,13,True,3,,"['vue3', 'bootstrap5']",
53,Vue Chimera,chimera-js/vue-chimera,,http-integrations,https://github.com/chimera-js/vue-chimera,https://github.com/chimera-js/vue-chimera,MIT,2018-08-02 13:06:12,2022-12-10 17:10:26,2020-03-20 19:50:38,176,,18.0,7,40.0,2.0,12.0,171.0,2020-03-20 15:47:54,3.0.2,,,7.0,VueJS reactive RESTful API.,26.0,26.0,2.0,,,13,True,1,,"['vue2', 'vue3', 'axios']",
54,Storybook for Nuxt framework,storybook-vue/nuxt,,dev-tools,https://github.com/storybook-vue/storybook-nuxt,https://github.com/storybook-vue/storybook-nuxt,,2023-07-23 03:19:03,2024-04-19 06:42:24,2024-04-19 06:42:07,385,38.0,17.0,12,45.0,40.0,16.0,133.0,2024-03-29 13:20:44,0.2.6,,,10.0,Storybook integration for Nuxt Framework - Unleashing the power of Storybook in Nuxt/Vue Land!.,5.0,5.0,7.0,,,13,True,3,,[],storybook-vue/storybook-nuxt
55,vue-stator,galvez/vue-stator,vue-stator,state-management,https://github.com/galvez/vue-stator,https://github.com/galvez/vue-stator,,2019-10-06 17:56:39,2023-01-04 22:35:09,2021-01-26 01:25:08,123,,3.0,6,38.0,4.0,6.0,167.0,2019-11-22 17:42:00,1.2.0,,97.0,3.0,Vuex alternative based on Vue.observable().,6.0,6.0,4.0,https://www.npmjs.com/package/vue-stator,97.0,11,True,3,,[],
56,tailwindui-vue,tailwindlabs/tailwindui-vue,,components,https://github.com/tailwindlabs/tailwindui-vue,https://github.com/tailwindlabs/tailwindui-vue,,2020-05-29 17:04:32,2020-10-02 21:51:16,2020-10-02 21:50:05,9,,28.0,60,9.0,,7.0,649.0,,,,,,"Deprecated, please use the Headless UI repo instead.",20.0,20.0,4.0,,,10,True,3,,['tailwind'],
57,vue3-draggable,shkilo/vue3-draggable,,dnd,https://github.com/shkilo/vue3-draggable,https://github.com/shkilo/vue3-draggable,MIT,2020-12-27 13:50:23,2023-01-11 17:43:22,2021-06-07 12:33:47,72,,17.0,1,6.0,8.0,1.0,33.0,,,,,,simple drag&drop component for vue 3.x.,298.0,298.0,,,,10,True,3,,['vue3'],
